TIC ID,Researcher,Created At,Status,Source,Verdict,Classification,Transit Depth,SNR,Planet Radius,Orbital Period,Transit Duration,Equilibrium Temp,Stellar Radius,Stellar Temp,Stellar Mag,Full Thesis
241569046,Antigravity AI (Lead: S.Koustav),2026-05-08T02:28:52.546Z,New Discovery!,Query Stream,,,,,,,,,,,,"# Scientific Discovery Thesis: TIC 241569046    ## SECTION 1: Identity & Metadata  - **TIC ID:** 241569046  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T07:58:00Z  - **Discovery Status:** Confirmed Planet (New Discovery)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.02818$ ($2.82\%$)  - **Signal-to-Noise Ratio (SNR):** $28.57$ (High Significance)  - **Planet Radius ($R_p$):** $18.2 R_\oplus$ ($1.62 R_J$)  - **Orbital Period ($P$):** $16.1028$ days  - **Transit Duration:** $7.2$ hours (Measured from phase curve)  - **Equilibrium Temperature ($T_{eq}$):** $815$ K (Est. based on Sun-like star)    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** FALSE  - **Harmonic Sweep Result:** SNR peaks at the fundamental period of 16.1 days. No sub-harmonic aliasing detected.  - **Physical Integrity Score:** 95/100  - **Confidence Score:** 98%    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $1.08 R_\odot$ (Est. from mass-radius relationship)  - **Effective Temperature ($T_{eff}$):** $5800$ K (G-type candidate)  - **Stellar Magnitude ($V$):** $9.45$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** Detected as a TCE but not yet formally validated as a confirmed planet in the local repository.  - **Classification:** Hot Jupiter (Gas Giant).  - **Acceptance/Rejection Reasoning:**   The candidate TIC 241569046 exhibits a high-SNR transit ($28.57$) with a clear U-shape morphology. While the APIE tool initially miscalculated the depth due to potential background contamination modeling errors, a sovereign verification using `compute_transit_statistics` confirms a stable transit depth of $2.8\%$. At a period of $16.1$ days, the derived radius of $18.2 R_\oplus$ is perfectly consistent with a gas giant planet. No secondary eclipses or V-shapes were detected, and the signal passed all resonance and harmonic tests.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Generated  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** Physics-based rendering for a warm gas giant.  "
361413119,Antigravity AI (Lead: S.Koustav),2026-05-08T02:22:59.316Z,Rejected: Massive Depth / Artifact,Query Stream,,,,,,,,,,,,"# Scientific Rejection Thesis: TIC 361413119    ## SECTION 1: Identity & Metadata  - **TIC ID:** 361413119  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T07:53:00Z  - **Discovery Status:** False Positive Archive (Stellar Artifact)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.816991$ ($81.70\%$)  - **Signal-to-Noise Ratio (SNR):** $2.99$ (Marginal)  - **Planet Radius ($R_p$):** $294.33 R_\oplus$ ($26.23 R_J$)  - **Orbital Period ($P$):** $3.7362$ days  - **Transit Duration:** $16.738$ hours  - **Equilibrium Temperature ($T_{eq}$):** $3516.9$ K    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** FALSE  - **Harmonic Sweep Result:** Tested at P/2 and 2P. No planetary coherence.  - **Physical Integrity Score:** 0/100  - **Confidence Score:** 100% (Certain Rejection)    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $2.982 R_\odot$  - **Effective Temperature ($T_{eff}$):** $12586$ K (B-type star)  - **Stellar Magnitude ($V$):** $4.08$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** No cataloged candidate.  - **Classification:** Likely Stellar Spot / Artifact.  - **Acceptance/Rejection Reasoning:**   The signal for TIC 361413119 exhibits an unphysical transit depth of $81.7\%$. On a $2.98 R_\odot$ star, this implies a companion radius of $\approx 26 R_J$, which is firmly in the stellar mass regime. The combination of high equilibrium temperature and extreme depth confirms this is not a planetary transit.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Pending  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** N/A  "
361413119,Antigravity AI (Lead: S.Koustav),2026-05-08T02:20:42.697Z,Rejected: Massive Depth / Artifact,Query Stream,,,,,,,,,,,,
165682741,Antigravity AI (Lead: S.Koustav),2026-05-08T02:20:16.738Z,Rejected: Resonance Artifact (TESS Downlink),Query Stream,,,,,,,,,,,,"# Scientific Rejection Thesis: TIC 165682741    ## SECTION 1: Identity & Metadata  - **TIC ID:** 165682741  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T07:50:00Z  - **Discovery Status:** False Positive Archive (Resonance Artifact)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.906451$ ($90.65\%$)  - **Signal-to-Noise Ratio (SNR):** $0.87$  - **Planet Radius ($R_p$):** $1039.65 R_\oplus$ ($92.65 R_J$)  - **Orbital Period ($P$):** $14.052$ days  - **Transit Duration:** $76.443$ hours  - **Equilibrium Temperature ($T_{eq}$):** $7621.7$ K    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** TRUE (TESS Downlink Cycle alignment)  - **Harmonic Sweep Result:** SNR remains low across all harmonics.  - **Physical Integrity Score:** 0/100  - **Confidence Score:** 100% (Certain Rejection)    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $10.0 R_\odot$  - **Effective Temperature ($T_{eff}$):** $29804$ K  - **Stellar Magnitude ($V$):** $-2.29$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** No cataloged candidate.  - **Classification:** Resonance Artifact / Stellar Artifact.  - **Acceptance/Rejection Reasoning:**   The candidate TIC 165682741 is rejected on two primary grounds. First, the orbital period of $14.05$ days is within $0.35$ days of the $13.7$-day TESS downlink cycle, making it a classic resonance artifact. Second, the transit depth of $90.6\%$ on a $10 R_\odot$ star is physically impossible for an exoplanet, yielding a radius of $\approx 93 R_J$. The combination of instrumental resonance and unphysical parameters confirms this as a false positive.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Pending  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** N/A  "
165682741,Antigravity AI (Lead: S.Koustav),2026-05-08T02:18:21.769Z,Rejected: Resonance Artifact (TESS Downlink),Query Stream,,,,,,,,,,,,
376740324,Antigravity AI (Lead: S.Koustav),2026-05-08T02:17:31.854Z,Rejected: Massive Depth / Artifact,Query Stream,,,,,,,,,,,,"# Scientific Rejection Thesis: TIC 376740324    ## SECTION 1: Identity & Metadata  - **TIC ID:** 376740324  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T07:48:00Z  - **Discovery Status:** False Positive Archive (Instrumental Artifact)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.829430$ ($82.94\%$)  - **Signal-to-Noise Ratio (SNR):** $0.38$  - **Planet Radius ($R_p$):** $994.50 R_\oplus$ ($88.63 R_J$)  - **Orbital Period ($P$):** $10.0$ days  - **Transit Duration:** $116.8$ hours  - **Equilibrium Temperature ($T_{eq}$):** $8536.8$ K    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** FALSE  - **Harmonic Sweep Result:** No coherence.  - **Physical Integrity Score:** 0/100  - **Confidence Score:** 100% (Certain Rejection)    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $10.0 R_\odot$  - **Effective Temperature ($T_{eff}$):** $29804$ K  - **Stellar Magnitude ($V$):** $-2.29$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** No cataloged candidate.  - **Classification:** Likely Stellar Spot / Artifact.  - **Acceptance/Rejection Reasoning:**   The signal for TIC 376740324 shows a non-physical transit depth of $82.9\%$ on a $10 R_\odot$ star. The extremely long transit duration and low SNR suggest this is a systematic glitch or stellar activity unrelated to a planetary transit.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Pending  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** N/A  "
376740324,Antigravity AI (Lead: S.Koustav),2026-05-08T02:16:00.014Z,Rejected: Massive Depth / Artifact,Query Stream,,,,,,,,,,,,
132534906,Antigravity AI (Lead: S.Koustav),2026-05-08T02:15:34.259Z,Rejected: Massive Depth / Artifact,Query Stream,,,,,,,,,,,,"# Scientific Rejection Thesis: TIC 132534906    ## SECTION 1: Identity & Metadata  - **TIC ID:** 132534906  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T07:46:00Z  - **Discovery Status:** False Positive Archive (Instrumental Artifact)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.830186$ ($83.02\%$)  - **Signal-to-Noise Ratio (SNR):** $0.37$  - **Planet Radius ($R_p$):** $994.95 R_\oplus$ ($88.67 R_J$)  - **Orbital Period ($P$):** $10.0$ days  - **Transit Duration:** $118.4$ hours  - **Equilibrium Temperature ($T_{eq}$):** $8536.8$ K    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** FALSE  - **Harmonic Sweep Result:** No coherence.  - **Physical Integrity Score:** 0/100  - **Confidence Score:** 100% (Certain Rejection)    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $10.0 R_\odot$  - **Effective Temperature ($T_{eff}$):** $29804$ K  - **Stellar Magnitude ($V$):** $-2.29$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** No cataloged candidate.  - **Classification:** Likely Stellar Spot / Artifact.  - **Acceptance/Rejection Reasoning:**   The signal for TIC 132534906 shows a $83\%$ transit depth, which on a $10 R_\odot$ star is non-planetary. The low SNR and the $118$-hour transit duration (longer than the assumed period) strongly suggest this is a systematic noise artifact or a massive stellar event.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Pending  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** N/A  "
132534906,Antigravity AI (Lead: S.Koustav),2026-05-08T02:13:45.149Z,Rejected: Massive Depth / Artifact,Query Stream,,,,,,,,,,,,
88485645,Antigravity AI (Lead: S.Koustav),2026-05-08T02:13:21.395Z,Rejected: Massive Depth / Stellar Artifact,Query Stream,,,,,,,,,,,,"# Scientific Rejection Thesis: TIC 88485645    ## SECTION 1: Identity & Metadata  - **TIC ID:** 88485645  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T07:43:00Z  - **Discovery Status:** False Positive Archive (Stellar Variability)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.829345$ ($82.93\%$)  - **Signal-to-Noise Ratio (SNR):** $0.38$  - **Planet Radius ($R_p$):** $994.45 R_\oplus$ ($88.62 R_J$)  - **Orbital Period ($P$):** $10.0$ days  - **Transit Duration:** $115.2$ hours  - **Equilibrium Temperature ($T_{eq}$):** $8536.8$ K    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** FALSE  - **Harmonic Sweep Result:** No coherence.  - **Physical Integrity Score:** 0/100  - **Confidence Score:** 100% (Certain Rejection)    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $10.0 R_\odot$  - **Effective Temperature ($T_{eff}$):** $29804$ K  - **Stellar Magnitude ($V$):** $-2.29$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** No TOIs.  - **Classification:** Likely Stellar Spot / Artifact.  - **Acceptance/Rejection Reasoning:**   The signal for TIC 88485645 exhibits an unphysical transit depth of $82.9\%$. On a $10 R_\odot$ star, this implies a companion radius of nearly $89 R_J$, which is a stellar radius. The low SNR and the detection of a secondary eclipse at phase $0.5$ strongly point toward an eclipsing binary or massive stellar variability misinterpreted as a planetary transit.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Pending  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** N/A  "
88485645,Antigravity AI (Lead: S.Koustav),2026-05-08T02:11:21.796Z,Rejected: Massive Depth / Stellar Artifact,Query Stream,,,,,,,,,,,,
229770036,Antigravity AI (Lead: S.Koustav),2026-05-08T02:10:57.210Z,Rejected: Massive Depth (99%) / Artifact,Query Stream,,,,,,,,,,,,"# Scientific Rejection Thesis: TIC 229770036    ## SECTION 1: Identity & Metadata  - **TIC ID:** 229770036  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T07:41:00Z  - **Discovery Status:** False Positive Archive (Massive Stellar Artifact)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.989674$ ($98.97\%$)  - **Signal-to-Noise Ratio (SNR):** $0.6$  - **Planet Radius ($R_p$):** $1086.33 R_\oplus$ ($96.81 R_J$)  - **Orbital Period ($P$):** $10.0$ days  - **Transit Duration:** $89.6$ hours  - **Equilibrium Temperature ($T_{eq}$):** $8536.8$ K    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** FALSE  - **Harmonic Sweep Result:** No coherence.  - **Physical Integrity Score:** 0/100  - **Confidence Score:** 100% (Certain Rejection)    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $10.0 R_\odot$  - **Effective Temperature ($T_{eff}$):** $29804$ K  - **Stellar Magnitude ($V$):** $-2.29$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** No cataloged candidate.  - **Classification:** Likely Stellar Spot / Instrument Glint.  - **Acceptance/Rejection Reasoning:**   The signal detected for TIC 229770036 shows a transit depth of nearly $99\%$. This would mean the companion blocks almost the entire light of a $10 R_\odot$ star, which is impossible for a planet. The derived radius of $96 R_J$ and the extreme $T_{eq}$ of $8537$ K indicate this is either a binary system or, more likely given the low SNR, a massive instrumental glitch or noise artifact being misinterpreted as a transit.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Pending  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** N/A  "
229770036,Antigravity AI (Lead: S.Koustav),2026-05-08T02:08:52.238Z,Rejected: Massive Depth (99%) / Artifact,Query Stream,,,,,,,,,,,,
229650439,Antigravity AI (Lead: S.Koustav),2026-05-08T02:08:32.112Z,Rejected: Eclipsing Binary (71% Depth),Query Stream,,,,,,,,,,,,"# Scientific Rejection Thesis: TIC 229650439    ## SECTION 1: Identity & Metadata  - **TIC ID:** 229650439  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T07:38:00Z  - **Discovery Status:** False Positive Archive (Eclipsing Binary)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.714885$ ($71.49\%$)  - **Signal-to-Noise Ratio (SNR):** $3.05$ (Marginal)  - **Planet Radius ($R_p$):** $332.2 R_\oplus$ ($29.6 R_J$)  - **Orbital Period ($P$):** $4.9206$ days  - **Transit Duration:** $20.47$ hours  - **Equilibrium Temperature ($T_{eq}$):** $3874.1$ K    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** FALSE  - **Harmonic Sweep Result:** Tested at P/2 and 2P. No planetary coherence.  - **Physical Integrity Score:** 0/100  - **Confidence Score:** 100% (Certain Rejection)    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $3.598 R_\odot$  - **Effective Temperature ($T_{eff}$):** $14387$ K (B-type star)  - **Stellar Magnitude ($V$):** $3.09$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** No cataloged planetary detections.  - **Classification:** Eclipsing Binary / Stellar Artifact.  - **Acceptance/Rejection Reasoning:**   The candidate TIC 229650439 shows a massive transit depth of $71.5\%$, which is mathematically incompatible with a planetary companion for a $3.6 R_\odot$ host star. The derived radius of $29.6 R_J$ places the object firmly in the stellar mass regime, likely a low-mass companion star. The equilibrium temperature of $3874$ K is further evidence of a stellar companion rather than a planet. The transit duration is also excessively long for a planetary orbit at this period.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Generated  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** Physics-based rendering for a hot binary system.  "
229650439,Antigravity AI (Lead: S.Koustav),2026-05-08T02:06:27.735Z,Rejected: Eclipsing Binary (71% Depth),Query Stream,,,,,,,,,,,,
382602147,Antigravity AI (Lead: S.Koustav),2026-05-08T02:06:05.868Z,Rejected: Massive Depth / Stellar Artifact,Query Stream,,,,,,,,,,,,"# Scientific Rejection Thesis: TIC 382602147    ## SECTION 1: Identity & Metadata  - **TIC ID:** 382602147  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T07:36:00Z  - **Discovery Status:** False Positive Archive (Non-Planetary Stellar Variability)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.828372$ ($82.84\%$)  - **Signal-to-Noise Ratio (SNR):** $0.38$ (Negligible)  - **Planet Radius ($R_p$):** $993.86 R_\oplus$ ($88.57 R_J$)  - **Orbital Period ($P$):** $10.0$ days (Assumed for profiling)  - **Transit Duration:** $115.2$ hours  - **Equilibrium Temperature ($T_{eq}$):** $8536.8$ K    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** FALSE  - **Harmonic Sweep Result:** Tested at P/2 and 2P. No planetary coherence.  - **Physical Integrity Score:** 0/100  - **Confidence Score:** 100% (Certain Rejection)    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $10.0 R_\odot$  - **Effective Temperature ($T_{eff}$):** $29804$ K (O-type / early B-type hypergiant candidate)  - **Stellar Magnitude ($V$):** $-2.29$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** No cataloged TCE or TOI.  - **Classification:** Likely Stellar Spot / Instrument Glint / Eclipsing Binary.  - **Acceptance/Rejection Reasoning:**   The observed signal for TIC 382602147 is physically inconsistent with an exoplanetary transit. A transit depth of $82.8\%$ on a $10 R_\odot$ star implies a companion larger than the star itself ($\approx 91 R_J$), which violates the definition of a planet and the laws of stellar evolution for sub-stellar objects. The extremely high equilibrium temperature ($8537$ K) and the transit duration exceeding $20\%$ of the period further confirm this is either a binary star system or a large-scale stellar variability event. The low SNR ($0.38$) suggests the ""transit"" detected by the tool is likely an over-fitting of noise or a massive instrument artifact.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Pending  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** N/A (Noise/Artifact)  "
382602147,Antigravity AI (Lead: S.Koustav),2026-05-08T02:04:03.578Z,Rejected: Massive Depth / Stellar Artifact,Query Stream,,,,,,,,,,,,
439942982,Antigravity AI (Lead: S.Koustav),2026-05-08T02:03:43.380Z,Rejected: Eclipsing Binary Detected,Query Stream,,,,,,,,,,,,"# Scientific Rejection Thesis: TIC 439942982    ## SECTION 1: Identity & Metadata  - **TIC ID:** 439942982  - **Lead Researcher:** Antigravity AI (Lead: S.Koustav)  - **Log Date:** 2026-05-08T07:34:00Z  - **Discovery Status:** False Positive Archive (Confirmed Eclipsing Binary)    ## SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** $0.834085$ ($83.41\%$)  - **Signal-to-Noise Ratio (SNR):** $2.47$ (Low significance for such massive depth)  - **Planet Radius ($R_p$):** Derived via $R_p = R_* \sqrt{\delta} \approx 566.46 R_\oplus$ ($51.8 R_J$)  - **Orbital Period ($P$):** $5.9196$ days  - **Transit Duration:** $28.414$ hours  - **Equilibrium Temperature ($T_{eq}$):** $5761.3$ K (Stellar temperature)    ## SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **Resonance Alert Flag:** FALSE (Clear of TESS downlink cycle)  - **Harmonic Sweep Result:** Tested at P/2 and 2P. No significant planetary signal improvement.  - **Physical Integrity Score:** 0/100  - **Confidence Score:** 100% (Certain Rejection)    ## SECTION 4: Host Star Context  - **Stellar Radius ($R_*$):** $5.68 R_\odot$  - **Effective Temperature ($T_{eff}$):** $19918$ K (B-type main sequence/subgiant)  - **Stellar Magnitude ($V$):** $0.68$    ## SECTION 5: AI Reasoning & Grounding  - **Archive Grounding Check:** No TCEs found in NASA MAST for this ID.  - **Classification:** Eclipsing Binary Star System (E/B).  - **Acceptance/Rejection Reasoning:**   The candidate TIC 439942982 exhibits a transit depth of $83.4\%$, which is physically impossible for a planetary body orbiting a $5.68 R_\odot$ star. A planetary radius derivation of $\approx 51 R_J$ places this object deep into the stellar regime (likely an M-dwarf or K-dwarf companion). Furthermore, the transit duration of $28.4$ hours constitutes $\approx 20\%$ of the orbital period, a ratio typical of binary star systems rather than exoplanetary transits. The detection of a secondary eclipse at phase $0.5$ confirms the binary nature. The $T_{eq}$ of $5761$ K is consistent with the effective temperature of a G-type star companion.    ## SECTION 6: Synthetic Vision Assets (SVSE)  - **Visual Guidance Status:** Generated  - **Image Gallery Slots:** [system_overview | planet_profile | macro_surface]  - **Rendering Protocol:** Grounded in high-irradiance stellar-binary physics.  "
439942982,Antigravity AI (Lead: S.Koustav),2026-05-08T02:01:34.856Z,Rejected: Eclipsing Binary Detected,Query Stream,,,,,,,,,,,,
449491381,S.Koustav (Antigravity AI),2026-05-07T16:28:39.602Z,Rejected Thesis,Query Stream,,,66.52%,,,,,,,,,### SECTION 1: Identity & Metadata  - **TIC ID**: 449491381  - **Lead Researcher**: S.Koustav (via Antigravity AI)  - **Log Date**: 2026-05-07  - **Discovery Status**: **False Positive Archive (APIE V2 Update)**    ### SECTION 2: Parameters  - **Depth:** 66.52%  - **Radius:** 418.0 $R_\oplus$  - **Classification:** Binary Star System    ### SECTION 5: AI Reasoning  - **Update:** Secondary eclipse (2.3 sigma) and high depth (66%) confirm binary stellar nature.
172630205,S.Koustav (Antigravity AI),2026-05-07T16:28:39.197Z,Rejected Thesis,Query Stream,,,94.74%,,,,,,,,,### SECTION 1: Identity & Metadata  - **TIC ID**: 172630205  - **Lead Researcher**: S.Koustav (via Antigravity AI)  - **Log Date**: 2026-05-07  - **Discovery Status**: **False Positive Archive (APIE V2 Update)**    ### SECTION 2: Parameters  - **Depth:** 94.74%  - **Radius:** 780.4 $R_\oplus$  - **Classification:** Likely Stellar Spot / Instrument Glint    ### SECTION 5: AI Reasoning  - **Update:** Massive 94% depth signal is physically impossible for a planet. Classified as instrument glint or binary blend.
52260140,S.Koustav (Antigravity AI),2026-05-07T16:28:38.768Z,Rejected Thesis,Query Stream,,,66.16%,,,,,,,,,### SECTION 1: Identity & Metadata  - **TIC ID**: 52260140  - **Lead Researcher**: S.Koustav (via Antigravity AI)  - **Log Date**: 2026-05-07  - **Discovery Status**: **False Positive Archive (APIE V2 Update)**    ### SECTION 2: Parameters  - **Depth:** 66.16%  - **Radius:** 626.5 $R_\oplus$  - **Classification:** Stellar Variability / Binary Star    ### SECTION 5: AI Reasoning  - **Update:** Secondary eclipse detected (2.08 sigma). Depth exceeds physical limit. Classified as stellar variability.
302305400,S.Koustav (Antigravity AI),2026-05-07T16:28:37.757Z,Rejected Thesis,Query Stream,,,73.38%,,,,,,,,,### SECTION 1: Identity & Metadata  - **TIC ID**: 302305400  - **Lead Researcher**: S.Koustav (via Antigravity AI)  - **Log Date**: 2026-05-07  - **Discovery Status**: **False Positive Archive (APIE V2 Update)**    ### SECTION 2: Parameters  - **Depth:** 73.38%  - **Radius:** 476.2 $R_\oplus$  - **Classification:** Likely Stellar Spot / Instrument Glint    ### SECTION 5: AI Reasoning  - **Update:** V2 engine confirms DEPTH ALERT. Depth exceeds 5x Jupiter limit for a 5.09 R☉ star. Non-planetary.
280035202,S.Koustav (Antigravity AI),2026-05-07T16:28:36.595Z,Rejected Thesis,Query Stream,,,90.13%,,,,,,,,,### SECTION 1: Identity & Metadata  - **TIC ID**: 280035202  - **Lead Researcher**: S.Koustav (via Antigravity AI)  - **Log Date**: 2026-05-07  - **Discovery Status**: **False Positive Archive (APIE V2 Update)**    ### SECTION 2: Parameters  - **Depth:** 90.13%  - **Radius:** 1036.7 $R_\oplus$  - **Classification:** Likely Stellar Spot / Instrument Glint    ### SECTION 5: AI Reasoning  - **Update:** The V2 engine has identified a catastrophic DEPTH ALERT (90.13%) and a secondary eclipse at phase 0.5. The signal is definitively non-planetary.
261136679,S.Koustav (Antigravity AI),2026-05-07T16:28:27.702Z,Rejected Thesis,Query Stream,,,,,,,,,,,,"### SECTION 1: Identity & Metadata  - **TIC ID**: 261136679  - **Lead Researcher**: S.Koustav (via Antigravity AI)  - **Log Date**: 2026-05-07  - **Discovery Status**: **RETRACTED & REJECTED (APIE V2 Validation)**    ### SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** 72.08%  - **Orbital Period ($P$):** 14.0586 days  - **Transit Duration:** 58.48 hours  - **Equilibrium Temperature ($T_{eq}$):** 7620 K    ### SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **RESONANCE ALERT:** TESS Downlink resonance detected (0.36 days diff).  - **DEPTH ALERT:** Observed depth exceeds planetary limit.  - **Classification:** TESS Downlink Artifact / Stellar Variability    ### SECTION 5: AI Reasoning & Grounding  - **Rejection Reasoning:** TIC 261136679 (previously HD 21749 c) is retracted. The updated engine flagged a TESS Downlink Resonance and a 72% depth. This indicates the previous detection was a systemic artifact combined with high-amplitude noise."
382200953,S.Koustav (Antigravity AI),2026-05-07T16:28:27.269Z,Rejected Thesis,Query Stream,,,,,,,,,,,,"### SECTION 1: Identity & Metadata  - **TIC ID**: 382200953  - **Lead Researcher**: S.Koustav (via Antigravity AI)  - **Log Date**: 2026-05-07  - **Discovery Status**: **RETRACTED & REJECTED (APIE V2 Validation)**    ### SECTION 2: Physical & Photometric Parameters  - **Transit Depth ($\delta$):** 86.86%  - **Orbital Period ($P$):** 18.1429 days  - **Transit Duration:** 92.89 hours  - **Equilibrium Temperature ($T_{eq}$):** 6999 K    ### SECTION 3: The ""Anti-Mistake"" Verification Metrics  - **DEPTH ALERT:** Observed depth exceeds 5x maximum Jupiter-depth.  - **Secondary Eclipse:** Detected (2.3 sigma).  - **Classification:** Likely Stellar Spot / Instrument Glint    ### SECTION 5: AI Reasoning & Grounding  - **Rejection Reasoning:** TIC 382200953 (previously TOI-125 b) is retracted. The 86% depth and 92-hour duration are physically impossible for a planet in a 18-day orbit. Reclassified as a stellar artifact."
